Person_ID,entry_time,exit_time,age,gender,confidence
1,00:00:00,00:00:00,,,0.0
2,00:00:00,00:00:22,,,0.0
3,00:00:00,00:00:11,,,0.0
13,00:00:03,00:00:07,,,0.0
14,00:00:03,00:01:35,,,0.0
16,00:00:03,00:00:30,,,0.0
22,00:00:04,00:00:11,,,0.0
36,00:00:08,00:00:11,,,0.0
39,00:00:09,00:01:09,,,0.0
43,00:00:09,00:00:24,,,0.0
47,00:00:12,00:00:34,,,0.0
55,00:00:16,00:00:17,,,0.0
61,00:00:18,00:00:22,,,0.0
67,00:00:19,00:00:21,,,0.0
69,00:00:19,00:00:34,,,0.0
79,00:00:23,00:00:32,,,0.0
80,00:00:23,00:00:24,,,0.0
85,00:00:24,00:01:37,,,0.0
87,00:00:25,00:00:25,,,0.0
89,00:00:28,00:00:48,,,0.0
91,00:00:35,00:00:58,,,0.0
92,00:00:35,00:01:27,,,0.0
94,00:00:38,00:01:03,,,0.0
95,00:00:39,00:00:59,,,0.0
96,00:00:40,00:00:55,,,0.0
97,00:00:42,00:01:06,,,0.0
105,00:00:46,00:01:31,,,0.0
110,00:00:52,00:01:33,,,0.0
118,00:00:58,00:00:59,,,0.0
120,00:01:00,00:01:03,,,0.0
122,00:01:04,00:01:18,,,0.0
123,00:01:04,00:01:04,,,0.0
124,00:01:07,00:01:07,,,0.0
125,00:01:12,00:01:37,,,0.0
126,00:01:13,00:01:29,,,0.0
128,00:01:20,00:01:21,,,0.0
132,00:01:25,00:01:37,,,0.0
137,00:01:29,00:01:36,,,0.0
139,00:01:33,00:01:33,,,0.0
142,00:01:34,00:01:35,,,0.0
150,00:01:37,00:01:37,,,0.0
